train_loss_epoch,step,epoch,ptl/val_loss,valid_loss,train_loss_step
1446.9205322265625,19,0,,,
,29,1,0.24320288002490997,0.24239219725131989,
1286.803466796875,39,1,,,
,49,2,,,564.9810180664062
,59,2,0.2401352822780609,0.23923246562480927,
1229.390380859375,59,2,,,
